Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	RollBegin	RollEnd	StpLossPeriod	BBExch	IBRoot	IBExch	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	TradeDir	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	Note
N	3204	EUR/CHF@CME	[001001001001]	1	0.01%	17:00	16:00	8	16:00	RFA Curncy	RF	17:00	17:00	40	Vwap	30	08:35	09:25	03:05	04:05		CME	RF	GLOBEX	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3205	JPY/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	JYA Curncy	JY	17:00	17:00	20	Vwap	10	08:35	09:25	08:35	09:25	3	CME	JPY	GLOBEX	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	3206	EUR/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	ECA Curncy	URO	17:00	17:00	20	Vwap	10	08:35	09:25	07:10	08:10	1	CME	EUR	GLOBEX	10	Vwap	10	10	70	0	17:00	Y	Y	Y	Y	Y		Y	
Y	3207	GBP/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	BPA Curncy	BP	17:00	17:00	20	Vwap	10	08:35	09:25	00:20	01:20	1	CME	GBP	GLOBEX	10	Vwap	10	10	70	0	17:00	Y	Y	Y	Y	Y		Y	
N	3208	AUD/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	ADA Curncy	AD	17:00	17:00	20	Vwap	10	08:35	09:25	02:10	05:10	3	CME	AUD	GLOBEX	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	3209	CAD/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	CDA Curncy	CD	17:00	17:00	20	Vwap	10	08:35	09:25	01:40	02:50	3	CME	CAD	GLOBEX	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	3210	MXN/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	PEA Curncy	MP	17:00	17:00	20	Vwap	10	08:35	09:25	09:10	10:10		CME	MXP	GLOBEX	10	Vwap	10	10	70	0		Y	Y	N	N	N		N	
N	3211	CHF/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	SFA Curncy	SF	17:00	17:00	20	Vwap	10	08:35	09:25	08:35	09:25	3	CME	CHF	GLOBEX	10	Vwap	10	10	70	0	17:00	Y	Y	Y	Y	Y		Y	
N	3212	NZD/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	NVA Curncy	NE	17:00	17:00	20	Vwap	10	08:35	09:25	08:35	09:25	3	CME	NZD	GLOBEX	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	3223	Bitcoin@CBF	[111111111111]	1	0.03%	08:00	19:00	8	15:00	XBTA Curncy		08:00	08:00	10	Vwap	10	08:35	09:25	18:40	19:40		CBF			10	Vwap	10	10	70	0		N	N	N	N	N		N	
Y	3224	Bitcoin@CME	[111111111111]	1	0.03%	17:00	16:00	8	15:00	BTCA Curncy		17:00	17:00	10	Vwap	10	08:35	09:25	18:40	19:40	3	CME			10	Vwap	10	10	70	0		N	N	N	N	N		N	
N	3301	Eurodollar 3Mon@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	EDA Comdty	ED	17:00	17:00	12	Vwap	2	07:40	08:40	07:40	08:40		CME	GE	GLOBEX	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3302	Sterling 90 day@LIF	[001001001001]	1	0.01%	07:30	18:00	8	16:15	L A Comdty	FSS	07:30	07:30	12	Vwap	2	07:50	08:50	07:50	08:50		LIF	L	ICEEU	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3303	Euribor 3Mon@LIF	[001001001001]	1	0.01%	01:00	21:00	8	16:15	ERA Comdty	FEI	01:00	01:00	12	Vwap	2	07:20	08:20	07:20	08:20		LIF	I	ICEEU	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3304	Canadian Bank Bill@MSE	[001001001001]	1	0.01%	02:00	16:30	8	15:00	BAA Comdty	BAX	02:00	02:00	12	Vwap	2	06:20	07:20	06:20	07:20		MSE	BAX	CDE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3305	Australian Bank Bill@SFE	[001001001001]	1	0.01%	17:08	16:30	8	16:30	IRA Comdty	YBA	17:08	17:08	12	Vwap	2	08:48	09:48	08:48	09:48		SFE	IR	SNFE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3306	Swedish IMM@PMI	[001001001001]	1	0.01%	08:30	17:00	8	17:30	RAA Comdty		08:30	08:30	12	Vwap	2	08:50	09:50	08:50	09:50		PMI			10	Vwap	2	10	70	0		N	N	N	N	N		N	
